leg,leg_number,name,type,address,on_route,distance_from_route_m,interest_rating,description,interesting_fact,external_link,source_notes,latitude,longitude,geocode_confidence,image_path,verdict,text_length,photo_choice,map_icon_correct,note_text,new_gps_lat,new_gps_lon,new_gps_accuracy_m,reviewed_at
"Port Louis initial list","1","Jummah Masjid","religious_building","Royal Road, Queen St, Port Louis, Mauritius","","","","Port Louis's principal mosque, on Royal Road in the heart of the old commercial quarter. Members of the city's mercantile community bought the site on Queen Street in 1852 and consecrated the mosque in 1853, when it was known as the ""Mosque of the Arabs."" A major expansion begun in 1878, overseen by Jackaria Jan Mahomed, was delayed for years by disease and construction-supply shortages and wasn't finished until 1895 - the building seen today is largely that late-19th-century enlargement.","The mosque blends Indian, Creole and Islamic architectural styles, and is widely described as one of the most beautiful religious buildings in Mauritius. A marble tomb beside the mosque holds the remains of Jamal Shah, a pir (Sufi holy man) from Kutch in India.","https://en.wikipedia.org/wiki/Jummah_Mosque_(Mauritius)","GPS: Google Places single unambiguous match. History from Wikipedia (Jummah Mosque, Mauritius) via WebSearch.","-20.1597222","57.505","confirmed - google places (single match)","port-louis-jummah-masjid.jpg","","","","","","","","",""
"Port Louis initial list","1","Government House","building","Intendance St, Port Louis, Mauritius","","","","The seat of Mauritius's colonial and now national government, at the top of Place d'Armes. The first Government House, built of wood in 1725 under the French, was destroyed by a cyclone in 1727. Construction of a permanent building began under French governors Nicolas de Maupin and Mahé de Labourdonnais, who enlarged it into the building's current footprint in 1738, originally named the Hôtel du Gouvernement.","Place d'Armes, the grand palm-lined boulevard leading up to it, is often called the most iconic street in Mauritius and is lined with statues of figures from the island's history.","","GPS: Google Places, chosen from 3 candidates (also matched ""Government House Police Post"", ""Sterling House"" - address and location both point clearly to the main building). History from Lonely Planet/Holidify via WebSearch.","-20.1630396","57.5035699","confirmed - google places (verified against 3 candidates)","port-louis-government-house.jpg","","","","","","","","",""
"Port Louis initial list","1","Place d'Armes","history","Place d'Armes, Port Louis, Mauritius","","","","The grand royal-palm-lined boulevard running from Government House down to the waterfront, and the most iconic public space in Port Louis. Originally the site of a fortification and battery built by Governor De Nyon and later reinforced by Mahe de Labourdonnais, it was laid out as the ceremonial approach to Government House, the French colonial residence dating to 1738. Today the avenue is lined with statues of the figures who shaped the island's history, from colonial governors like Sir William Stevenson and Sir John Pope Hennessy to Queen Victoria and lawyer Sir William Newton, who helped democratise Mauritius's electoral system.","At the quayside end of the avenue stands a bronze statue of Mahe de Labourdonnais, cast by French sculptor A. Dumont and inaugurated on 30 August 1859 - it has since become one of the most recognised emblems of Port Louis itself.","","GPS: Google Places single match (a neighbourhood-type result covering the boulevard itself). History from Lonely Planet/Holidify via WebSearch. Expanded via WebSearch (Lonely Planet, Holidify, GPSmyCity, Commonwealth Walkway) per user request for longer description.","-20.1617613","57.5021551","confirmed - google places (single match)","port-louis-place-d-armes.jpg","","","","","","","","",""
"Port Louis initial list","1","Central Market Port Louis","history","9 Corderie St, Port Louis, Mauritius","","","","The historic heart of Port Louis's daily life, dating to 1839 under British colonial rule (the market itself traces back further, to a 1828 origin before moving to this site in 1833). Its wrought-iron gates, decorated with floral motifs and dating from 1839, are a well-known piece of the city's Victorian-era heritage. The building was heavily renovated between 2001 and 2004 after several fires, while its original character was preserved.","For nearly two centuries the market has been a meeting point for all of Mauritius's communities - Creole, Franco-Mauritian, Indian, Chinese and African - trading side by side, and it's still often called the Bazaar or Victoria Market by locals.","","GPS: Google Places single match. History from pickyourtrail.com/ilemaurice.im via WebSearch.","-20.1606919","57.5029509","confirmed - google places (single match)","port-louis-central-market-port-louis.jpg","","","","","","","","",""
"Port Louis initial list","1","Champ de Mars","history","9 Dauphine St, Port Louis, Mauritius","","","","Home to the Champ de Mars Racecourse, inaugurated on 25 June 1812 by the Mauritius Turf Club - the oldest horse-racing club in the Southern Hemisphere and the second-oldest in the world. Before it was a racecourse, French governor Mahé de La Bourdonnais used the ground as a military training field for his troops.","When Mauritius became independent on 12 March 1968, the flag-hoisting ceremony marking the occasion was held here at the Champ de Mars - tying the island's oldest sporting institution to its newest chapter as a nation.","https://en.wikipedia.org/wiki/Champ_de_Mars_Racecourse","GPS: Google Places single match. History from Wikipedia/Atlas Obscura/Medium via WebSearch.","-20.1692212","57.5101827","confirmed - google places (single match)","port-louis-champ-de-mars.jpg","","","","","","","","",""
"Port Louis initial list","1","Citadelle (Fort Adelaide)","building","Sebastopol St, Port Louis, Mauritius","","","","Also known as Fort Adelaide, this hilltop citadel overlooking Port Louis was built by the British between 1830 and 1840, named after Queen Adelaide, consort of King William IV. It was built to guard against invasion and control local unrest amid racial tensions of the period, using hundreds of Indian contractors over six years of construction.","Despite its imposing basalt-stone walls, the fort was never actually used in combat, and today survives as the best-preserved of the major British fortresses built on the island.","","GPS: Google Places single match. History from templeseeker.com/mauritiusattractions.com via WebSearch.","-20.1637146","57.5102772","confirmed - google places (single match)","port-louis-citadelle-fort-adelaide.jpg","","","","","","","","",""
"Port Louis initial list","1","Cannon Stand","history","69 Emmanuel Anquetil St, Port Louis, Mauritius","","","","A row of cast-iron cannons mounted on wooden carriages along the ramparts of the Citadelle (Fort Adelaide), still aimed out over Port Louis harbour just as they were when the fort was completed. Built from black basalt in a Moorish style between 1830 and 1840 under British colonial rule, the fort was raised to guard against a feared French invasion and to help control local opposition to the abolition of slavery, though its guns were, in the end, never fired in anger.","Despite bristling with cannons and room for a 200-strong garrison, Fort Adelaide never saw combat - it functioned instead as a show of force overlooking the harbour, and today its ramparts are better known as one of the best viewpoints over Port Louis and the surrounding mountains.","","GPS: Google Places single match. Not independently researched - grouped with the Citadelle above. Expanded via WebSearch (Mauritius Attractions, Wanderlog, thingstodoinportlouis) per user request for longer description; photo is user-provided.","-20.1633953","57.5097652","confirmed - google places (single match)","port-louis-cannon-stand.jpg","","","","","","","","",""
"Port Louis initial list","1","Blue Penny Museum","museum","Caudan Waterfront, Port Louis, Mauritius","","","","A museum dedicated to the history and art of Mauritius, at Caudan Waterfront, opened in November 2001. Its centrepiece is the pair of 1847 ""Post Office"" stamps - the one-penny orange-red and two-pence blue - among the rarest and most valuable stamps in the world, whose designs were based on Britain's Penny Black and feature Queen Victoria's profile.","A consortium of Mauritian companies, led by the Mauritius Commercial Bank, paid $2,000,000 in 1993 to buy the stamps back to the island after almost 150 years abroad. To protect them from light damage, the originals are only illuminated for ten minutes on the quarter-past of every opening hour - the rest of the time, visitors see facsimiles.","https://en.wikipedia.org/wiki/Blue_Penny_Museum","GPS: Google Places single match. History from Wikipedia/bluepenny.museum via WebSearch.","-20.1609278","57.497513","confirmed - google places (single match)","port-louis-blue-penny-museum.jpg","","","","","","","","",""
"Port Louis initial list","1","Aapravasi Ghat World Heritage Site","history","1 Quay St, Port Louis, Mauritius","","","","A UNESCO World Heritage Site since 2006, and the place where the modern indentured-labour diaspora began. Built in 1849, the Aapravasi Ghat (""Immigration Depot"") was the main entry point for almost 500,000 indentured labourers - mostly from India, but also China, Africa, Madagascar and Southeast Asia - brought to Mauritius between 1849 and 1923, mainly to work the island's sugar plantations after the abolition of slavery.","Roughly 70% of Mauritians today are descended from these indentured labourers - making this small 1,640 m² depot one of the most significant sites anywhere for understanding the origins of modern Mauritian society, and one of the earliest examples of the labour-migration system that would go on to reshape economies worldwide.","https://whc.unesco.org/en/list/1227/","GPS: Google Places single match. History from UNESCO/mauritiusnow.com via WebSearch - a sensitive, historically important site, facts cross-checked against the official UNESCO listing.","-20.158554","57.5029509","confirmed - google places (single match)","port-louis-aapravasi-ghat-world-heritage-site.jpg","","","","","","","","",""
"Port Louis initial list","1","Sir Sewoosagur Ramgoolam Statue","statue","Port Louis, Mauritius","","","","A statue at Caudan Waterfront of Sir Seewoosagur Ramgoolam, the first Prime Minister of independent Mauritius. Born in 1900 at Belle Rive to an indentured labourer from India, he rose from a self-enrolled mission-school pupil to co-found the Mauritius Labour Party in 1936, campaigning for voting and workers' rights. He served as Mayor of Port Louis, Chief Minister and Premier before leading Mauritius to independence on 12 March 1968 as its first Prime Minister, later serving as Governor-General - a journey still celebrated as the model of the nation's founding story.","As the first head of the independent government, Ramgoolam established free education, free healthcare and a national social security system - a legacy still commemorated with wreath-laying ceremonies held at statues like this one, and remembered every year on his birthday, 12 September, celebrated as SSR's birth anniversary.","","GPS: Google Places single match. History from Alamy/journaldudimanche.com via WebSearch. Note: an earlier automated image search for this entry returned the WRONG statue (a Pierre Poivre bust in the unrelated SSR Botanical Garden) - image left blank, needs a manual photo. Description expanded via WebSearch (BlackPast.org, Wikipedia, Encyclopedia.com) per user request; photo still needed - repaste requested, clipboard was empty on last attempt.","-20.1607402","57.500884","confirmed - google places (single match)","port-louis-ramgoolam-statue.jpg","","","","","","","","",""
"Port Louis initial list","1","Port Louis Fire Station","building","Maillard St, Port Louis, Mauritius","","","","The Port Louis Fire and Rescue Service's main station, a working municipal building housed in a handsome colonial-era structure dating to 1906 - the oldest fire station still in operation in Mauritius. It replaced an earlier station relocated from the port area in 1850, part of the city's long, hard-won response to the devastating fires of 1816 and 1892 that tore through Port Louis when most buildings were still made of wood and straw.","The station's watch tower once served as a lookout for spotting fires across the city before modern communications existed, and it still houses one of only three surviving Merryweather clocks in the world - a rare mechanical relic from the early era of organised firefighting.","","GPS: Google Places single match. Not researched - a working public-service building, unlikely to be tour-worthy. Expanded via WebSearch (Wanderlog, Le Musee des Pompiers de La Reunion, Caudan Waterfront heritage guide) per user request for longer description; photo is user-provided.","-20.164693","57.504012","confirmed - google places (single match)","port-louis-fire-station.jpg","","","","","","","","",""
"Port Louis initial list","1","Café du Vieux Conseil","building","Rue du Vieux Conseil, Port Louis, Mauritius","","","","A colonial-era courtyard café on Rue du Vieux Conseil (""Old Council Street""), tucked among the historic government-quarter buildings near Government House. Housed in an old Port Louis institution with a veranda and timber kiosks shaded by large trees, the courtyard doubles as a venue for lunches, concerts, exhibitions and evening events alongside its regular menu of Mauritian, Indian and Italian dishes.","The chef's specialty is a pancake served with either asparagus or thinly sliced smoked marlin - a small sign of how thoroughly French, Indian and Mauritian culinary traditions blend together on a single menu here.","","GPS: Google Places single match. A working restaurant, not independently researched. Expanded via WebSearch (Tripadvisor, Petit Fute, Mindtrip) per user request for longer description; photo requested but clipboard grab failed twice - repaste needed.","-20.1641494","57.5039678","confirmed - google places (single match)","port-louis-cafe-du-vieux-conseil.jpg","","","","","","","","",""
