leg,leg_number,name,type,address,on_route,distance_from_route_m,interest_rating,description,interesting_fact_1,interesting_fact_2,interesting_fact_3,external_link,source_notes,latitude,longitude,geocode_confidence,image_path,verdict,text_length,photo_choice,map_icon_correct,note_text,new_gps_lat,new_gps_lon,new_gps_accuracy_m,reviewed_at
"RBS HQ -> Pitt Statue","1","Statue of John Hope, 4th Earl of Hopetoun","statue","Forecourt of Dundas House, 36 St Andrew Square, Edinburgh EH2 2YB","","","","A bronze general stands guard over Dundas House's forecourt, toga draped over one shoulder, a horse bowing its head beside him. This is John Hope, 4th Earl of Hopetoun (1765-1823), who took command of the British army at Corunna after Sir John Moore fell in battle. Sculptor Thomas Campbell dressed him as a Roman rather than a soldier, standing rather than mounted - a quieter kind of monument than you might expect for a general. The stepped granite plinth beneath him carries an inscription penned by Sir Walter Scott himself.","It was never meant to be here. Edinburgh commissioned the statue in 1824 for Charlotte Square, then judged it unsuitable; it went unplaced for years until the bank accepted it in 1834 and set it in its own forecourt. The accidental siting produced the square's best in-joke: the Earl stands looking west across the gardens directly at the Melville Monument and Henry Dundas - who was his brother-in-law, having married the Earl's sister Lady Jane Hope in 1793.","","","https://en.wikipedia.org/wiki/John_Hope,_4th_Earl_of_Hopetoun","","55.95442886464266","-3.191716979846795","","1-1.jpg","","","","","RECOVERY: draft-JSON fallback (pre-review, not confirmed post-review)","","","",""
"RBS HQ -> Pitt Statue","1","Lion of Scotland","statue","St Andrew Square Gardens, Edinburgh","","","","This sleeping lion is carved from 20 tonnes of pink granite, and you're looking at over a year of hand-tool labour with not a single power tool used. Sculptor Ronald Rae carved this from a single boulder of Corrennie granite from Aberdeenshire - some 17 feet nose to tail, 8 feet at the shoulder. It first lay in Holyrood Park, deliberately placed between the Palace of Holyroodhouse and the new Scottish Parliament, beneath Arthur's Seat - a hill long read as a lion in its own right. Now it rests here in St Andrew Square Gardens instead.","It's been voted Edinburgh's best-loved sculpture. When its Holyrood loan was due to expire in 2008, Scottish Blue Badge guides raised a petition and thousands signed it; that won a two-year reprieve, and on 25 April 2010 the lion made the mile-long journey across town.","It came here on loan rather than by purchase, financed by Essential Edinburgh and private sponsors - Rae has said he hopes the city will one day buy it outright. Technically, it is still a visitor.","","https://www.ronaldrae.co.uk/lion-of-scotland/","","55.954561751061455","-3.1929936377678936","","1-2.jpg","","","","","RECOVERY: draft-JSON fallback (pre-review, not confirmed post-review)","","","",""
"RBS HQ -> Pitt Statue","1","Melville Monument","monument","St Andrew Square Gardens, Edinburgh","","","","Tip your head back for the full 45 metres of fluted Doric column rising above the gardens, modelled on Trajan's Column in Rome and weighing around 1,500 tons. Robert Stevenson - grandfather of novelist Robert Louis Stevenson, and already Scotland's master lighthouse engineer - helped solve the engineering, since nothing this large had been attempted in the country before. At the top stands Henry Dundas, 1st Viscount Melville, carved by Robert Forrest from a design by Sir Francis Chantrey.","Dundas was so politically powerful in late-18th-century Scotland he was nicknamed 'The Uncrowned King of Scotland' - and this monument is the 'big man in the sky' the game's own clue points players toward. In 1806 he became the last person ever impeached in the UK, for misappropriating public funds.","A plaque added in 2021 addresses his role in delaying the abolition of the slave trade. The £8,000 bill was met by subscription from the officers and men of the Royal Navy, which Dundas had run as First Lord of the Admiralty from 1804.","","https://en.wikipedia.org/wiki/Melville_Monument","","55.954209464635085","-3.1931551391033786","","1-3.jpg","","","","","RECOVERY: draft-JSON fallback (pre-review, not confirmed post-review)","","","",""
"RBS HQ -> Pitt Statue","1","Paddington Bear Statue","quirky","St Andrew Square Gardens (near 42 St Andrew Sq), Edinburgh","","","","Take a seat beside the bronze bear on the bench - there's a gap left deliberately for you, marmalade sandwich in his paw, because this whole spot was built around the photograph you're about to take. He's sitting on ground that was private, railed-off garden for well over two centuries, reserved for the households around the square, and only opened to the public in 2008.","Unveiled 9 Oct 2024 as part of the national 'Paddington Visits' trail (tied to the Paddington in Peru film) - one of 23 across the UK and Ireland, each hand-painted in the red hat and blue duffle coat.","The luggage label round his neck - 'Please look after this bear' - came straight from Michael Bond's memory of wartime evacuee children arriving at London stations with tags tied to their coats. Bond bought the lone unsold teddy that started it all on Christmas Eve 1956, as a present for his wife.","","https://mindtrip.ai/attraction/edinburgh-scotland/paddington-bear-statue/at-AhHdS9wz","","55.9541629","-3.1934904","","1-4.jpg","","","","","RECOVERY: draft-JSON fallback (pre-review, not confirmed post-review)","","","",""
"RBS HQ -> Pitt Statue","1","National Portrait Gallery","gallery","1 Queen Street, Edinburgh EH2 1JD","","","","Red sandstone turrets and niche-set statues of famous Scots line this Gothic Revival facade, and you're facing a building whose donor kept his identity secret for seven years. Robert Rowand Anderson designed it, built 1885-90 from stone quarried at Corsehill near Annan, as a double building sharing one Great Hall: portrait gallery in the east wing, National Museum of Antiquities in the west.","Nobody was supposed to know who paid for it. In 1882 an anonymous £10,000 gift arrived to 'set on foot' a national portrait gallery; the donor quietly kept paying until the bill reached roughly £70,000, and his identity was revealed only on opening day in 1889 - John Ritchie Findlay, proprietor of The Scotsman.","Inside, the Great Hall's arcaded balcony carries William Hole's processional frieze of 155 Scots running backwards in time from Thomas Carlyle to the Stone Age, beneath a ceiling of over 2,000 gold stars.","","https://en.wikipedia.org/wiki/Scottish_National_Portrait_Gallery","","55.955679","-3.193556","","1-5.jpg","","","","","RECOVERY: draft-JSON fallback (pre-review, not confirmed post-review)","","","",""
"RBS HQ -> Pitt Statue","1","The Capital Building","building","The Capital Building, 12-13 St Andrew Square, Edinburgh EH2 2AF","","","","Black granite and warm sandstone banding rise sharply above St Andrew Square's corner, and you're standing in front of one of the New Town's only full-blooded Art Deco buildings. Built 1938-40 as the Caledonian Insurance Company's head office, to designs by Leslie Grahame Thomson with Frank J Connell, its splayed corner entrance is flanked by two outsized bronzes by Alexander Carrick.","The two bronzes over the door are an insurance advert in metal. Carrick's figures are 'Safety' - a man shielding a young girl - and 'Security' - a woman with a baby and a boy: not civic virtues, but precisely the two things a Caledonian Insurance policy claimed to sell, cast at twice life size above the counter where you bought one.","The theme carries indoors, where William Wilson's stained glass in the stairwell depicts commercial trades rather than scripture. The building was finished just as war halted Edinburgh construction.","","https://www.capital-building.co.uk/","","55.953857","-3.194273","","1-6.jpg","","","","","RECOVERY: draft-JSON fallback (pre-review, not confirmed post-review)","","","",""
"RBS HQ -> Pitt Statue","1","James Clerk Maxwell statue","statue","Central reservation, east end of George Street at St Andrew Square, Edinburgh EH2 2LL","","","","Sit for a moment across from the seated bronze at the top of George Street, and you're facing James Clerk Maxwell (1831-1879), captured mid-thought by sculptor Alexander Stoddart, spinning colour top in hand and his terrier Toby curled at his feet. Unveiled in 2008, the granite plinth beneath him carries reliefs of Newton and Einstein either side, plus a plaque of his own equations.","The four equations on the plinth are not the ones Maxwell wrote. His 1865 formulation ran to twenty equations in twenty variables; the compact vector form the world now calls 'Maxwell's equations' was boiled down by Oliver Heaviside two decades later, after Maxwell was dead.","The Royal Society of Edinburgh, which commissioned this statue and sits a block west, first published Maxwell at fourteen - his 1846 paper on oval curves had to be read aloud to the Society by Professor James Forbes, because a boy that age could not present it himself.","","https://en.wikipedia.org/wiki/James_Clerk_Maxwell","","55.95400445645818","-3.1944016638513006","","1-7.jpg","","","","","RECOVERY: draft-JSON fallback (pre-review, not confirmed post-review)","","","",""
"RBS HQ -> Pitt Statue","1","Thistle Court","architectural_point","Thistle Street, Edinburgh","","","","Two plain sandstone houses face each other across this small grass court, and you're standing at the very start of the New Town - the oldest surviving buildings in the whole development, put up in 1767. There's no column, no pediment, nothing to announce it: developer John Young simply built houses facing each other rather than following James Craig's grid, and collected the council's £20 prize for breaking ground first.","These are possibly the oldest semi-detached houses in Scotland. The rest of Thistle Street took another twenty-odd years to fill up, put up as plain craft workers' dwellings and workshops - the cheap seats directly behind George Street's mansions.","Craig named the street for Scotland's emblem, pairing it with Rose Street, named for England's.","","https://canmore.org.uk/site/52431/edinburgh-thistle-street-1-thistle-court","","55.954485007671934","-3.195650485176331","","1-8.jpg","","","","","RECOVERY: draft-JSON fallback (pre-review, not confirmed post-review)","","","",""
"RBS HQ -> Pitt Statue","1","The Dome","building","14 George Street, Edinburgh","","","","A hexastyle Corinthian portico towers over George Street - six 35-foot columns, 95 feet wide, topped by a sculpted pediment. Built around 1847 by architect David Rhind, this was once the Commercial Bank's grand headquarters, and its namesake glass dome still lights the banking hall inside. The pediment's carving of Fruitfulness, Trade and Navigation once appeared on the bank's own banknotes - so Scots carried this exact building around in their pockets.","The bank that built this grand headquarters eventually merged into the very same Royal Bank of Scotland whose own head office - Dundas House - is the first stop on this walk: once a rival across town, now part of the same institution.","This replaced the Physicians' Hall, designed by James Craig himself; its foundation stone was laid in 1776, and when it came down in January 1844 the workmen opened that stone and found silver medals sealed inside.","","https://en.wikipedia.org/wiki/The_Dome,_Edinburgh","","55.95366","-3.195608","","1-9.jpg","","","","","RECOVERY: draft-JSON fallback (pre-review, not confirmed post-review)","","","",""
"RBS HQ -> Pitt Statue","1","St Andrew's and St George's West Church","religious_building","13 George Street, Edinburgh","","","","Inside, the oval ceiling is lifted straight from an 18th-century engraving of the ruins of Palmyra - the first elliptical church plan built anywhere in Britain. Built in 1784 as St Andrew's Church - the New Town's first - its curved interior was partly a virtue made of necessity, since the leftover plot was too shallow for a conventional nave. Its 51-metre steeple, added in 1787, holds the oldest complete ring of bells in Scotland.","The site was originally earmarked for Dundas House before it was swapped for the church - Sir Lawrence Dundas quietly bought up the square's east side before Craig's plan could be enforced, and the church was bumped along George Street instead.","On 18 May 1843 this was the room where the Disruption happened: around a third of the ministers at the General Assembly walked out and founded the Free Church of Scotland.","","https://en.wikipedia.org/wiki/St_Andrew%27s_and_St_George%27s_West_Church","","55.95389536651243","-3.1957734524751946","","1-10.jpg","","","","","RECOVERY: draft-JSON fallback (pre-review, not confirmed post-review)","","","",""
