landmark_sequence_order,landmark_title,hint_order,hint_text
"2","Port Louis Casino","1","it is not a real ship"
"2","Port Louis Casino","2","you will need some cash to get anywhere here"
"3","SAJ Statue","1","it is one of 3 statues of men close together"
"3","SAJ Statue","2","both his hands are down"
"4","Aapravasi Ghat World Heritage Site","1","it is not the slavery museum"
"4","Aapravasi Ghat World Heritage Site","2","it is a UNESCO world heritage site"
"5","Jummah Masjid","1","It is not a church"
"5","Jummah Masjid","2","it spans Queen St & Royal Rd"
"6","Manga Street Murals","1","The right turn is Emmanuel Anquetil St"
"6","Manga Street Murals","2","Then left at Venpin"
"7","China Town South Gate","1","The gate crosses a road"
"7","China Town South Gate","2","it is one of 2 gates, this is the southern most one"
"8","Central Market Port Louis","1","it is not a small market"
"8","Central Market Port Louis","2","its location is quite handy"
"9","Statue of William Newton","1","he is close to a queen"
"9","Statue of William Newton","2","his first name is the same as the great bard"
"10","Port Louis Theatre","1","it has 6 columns out front"
"10","Port Louis Theatre","2","it is a theatre"
"11","Statue de Saint Louis","1","it is a statue of a man, not a woman"
"11","Statue de Saint Louis","2","it is in the grounds of a cathedral"
"12","Photographic Museum Of Mauritius","1","the street is Rue du Vieux Conseil"
"12","Photographic Museum Of Mauritius","2","it celebrates photography"
"13","Natural History Museum","1","It is located alongside Les Jardins De La Compagnie"
"14","Bust of Queen Victoria","1","she is a queen"
"14","Bust of Queen Victoria","2","it is a bust, not a full length statue"
"15","Caudan Arts Centre","1","you are heading back to where you started"
"15","Caudan Arts Centre","2","it opened in 2018"
"13","Natural History Museum","2","It is a large yellow building"
