leg,leg_number,name,type,address,on_route,distance_from_route_m,interest_rating,description,interesting_fact_1,interesting_fact_2,interesting_fact_3,external_link,source_notes,latitude,longitude,geocode_confidence,image_path,verdict,text_length,photo_choice,map_icon_correct,note_text,new_gps_lat,new_gps_lon,new_gps_accuracy_m,reviewed_at
"Port Louis existing POIs (voice rewrite pass)","2","Jummah Masjid","religious_building","Royal Road, Queen St, Port Louis, Mauritius","","","","Step onto Royal Road in the heart of the old commercial quarter and Port Louis's principal mosque rises in front of you, known simply as Jummah Masjid. The city's mercantile community bought this plot on Queen Street in 1852 and consecrated the mosque a year later, when it went by a different name entirely - the ""Mosque of the Arabs."" What you're looking at today is largely a late-Victorian rebuild: a major expansion begun in 1878 under Jackaria Jan Mahomed dragged on for years, slowed by disease and building-supply shortages, and wasn't finished until 1895.","The mosque blends Indian, Creole and Islamic architectural styles so seamlessly that it's often named one of the most beautiful religious buildings in Mauritius.","","","https://en.wikipedia.org/wiki/Jummah_Mosque_(Mauritius)","Re-imported from sites.csv 2026-09-19 for the new-voice/multi-fact rewrite pass - was already promoted and live; original about_site_text/interesting_fact preserved as the starting point before rewrite. Rewritten 2026-09-19 to the blended second-person/sensory voice (see feedback_poi_narrative_voice_standard memory); existing fact split where the original text already carried more than one distinct nugget. Additional facts researched 2026-09-19 (real WebSearch pass, not restyle-only). User picked fact 1 during POI Reader review 2026-09-19; facts 2/3 cleared.","-20.1597222","57.505","promoted - already live in sites.csv","port-louis-jummah-masjid.jpg","","","","","","","","",""
"Port Louis existing POIs (voice rewrite pass)","2","Government House","building","Intendance St, Port Louis, Mauritius","","","","At the top of Place d'Armes stands the seat of Mauritius's government, colonial and now national both. The first Government House here was built of wood in 1725 under the French - and lasted only two years before a cyclone tore it down in 1727. What replaced it was built to last: French governors Nicolas de Maupin and Mahé de La Bourdonnais enlarged it into the footprint you see today by 1738, when it was still known by its original name, the Hôtel du Gouvernement.","Place d'Armes, the grand palm-lined boulevard leading up to it, is often called the most iconic street in Mauritius, lined the whole way with statues of the figures who shaped the island's history.","","","","Re-imported from sites.csv 2026-09-19 for the new-voice/multi-fact rewrite pass - was already promoted and live; original about_site_text/interesting_fact preserved as the starting point before rewrite. Rewritten 2026-09-19 to the blended second-person/sensory voice (see feedback_poi_narrative_voice_standard memory); existing fact split where the original text already carried more than one distinct nugget. Additional facts researched 2026-09-19 (real WebSearch pass, not restyle-only). User picked fact 1 during POI Reader review 2026-09-19; fact 2 cleared.","-20.1630396","57.5035699","promoted - already live in sites.csv","port-louis-government-house.jpg","","","","","","","","",""
"Port Louis existing POIs (voice rewrite pass)","2","Place d'Armes","history","Place d'Armes, Port Louis, Mauritius","","","","Walk the royal-palm-lined boulevard running from Government House down to the waterfront and you're on the most iconic public space in Port Louis - and its own open-air history lesson. Before it was ceremonial, it was military - Governor De Nyon first fortified this ground with a battery, later reinforced by Mahé de La Bourdonnais, before it was laid out as the formal approach to Government House in 1738. Follow the avenue up from the sea and its statues trace Mauritian history in rough order. La Bourdonnais himself stands at the quayside end, the governor who built the harbour behind him. A little further on, Sir Seewoosagur Ramgoolam faces back up the avenue he led into independence in 1968, close to brothers Sookdeo and Basdeo Bissoondoyal, who stand facing each other - the politician and the organiser who built that independence movement side by side. Midway, Dr Maurice Curé marks the birth of Mauritian labour politics; nearer Government House, lawyer Sir William Newton marks the fight for the vote. And right at the top, inside the courtyard gates, Queen Victoria still sits in bronze - marking the tail end of nearly a century and a half of British rule.","Every statue along this boulevard - from La Bourdonnais to Queen Victoria - is individually classified as a National Heritage monument, meaning Place d'Armes carries more protected heritage sites per metre than almost anywhere else in Mauritius.","","","","Re-imported from sites.csv 2026-09-19 for the new-voice/multi-fact rewrite pass - was already promoted and live; original about_site_text/interesting_fact preserved as the starting point before rewrite. Rewritten 2026-09-19 to the blended second-person/sensory voice (see feedback_poi_narrative_voice_standard memory); existing fact split where the original text already carried more than one distinct nugget. Additional facts researched 2026-09-19 (real WebSearch pass, not restyle-only). User picked fact 1 during POI Reader review 2026-09-19; fact 2 cleared. Description rewritten 2026-09-25 to add the statue-by-statue timeline the user requested (harbour to Government House); interesting_fact swapped from the La Bourdonnais-unveiling detail (now on its own dedicated Statue of Mahe de La Bourdonnais POI) to the National-Heritage-classification fact, verified via WebSearch (Holidify).","-20.1617613","57.5021551","promoted - already live in sites.csv","port-louis-place-d-armes.jpg","","","","","","","","",""
"Port Louis existing POIs (voice rewrite pass)","2","Central Market Port Louis","history","9 Corderie St, Port Louis, Mauritius","","","","Step into the historic heart of Port Louis's daily life - a market that's been trading here, in one form or another, since 1828, moving to this site in 1833 and formally opening under British rule in 1839. Its wrought-iron gates, worked with floral motifs and dating from that same year, are one of the city's best-loved pieces of Victorian-era heritage; the building itself was heavily renovated between 2001 and 2004 after several fires, careful to keep its original character intact.","For nearly two centuries this market has been where all of Mauritius's communities meet and trade side by side - Creole, Franco-Mauritian, Indian, Chinese and African - and locals still often call it the Bazaar or Victoria Market rather than by its official name. A serious fire tore through the market in 1996, badly damaging the building - the renovation that followed, running 2001 to 2004, was as much about repairing that fire damage as modernising a market that was already over 150 years old.","","","","Re-imported from sites.csv 2026-09-19 for the new-voice/multi-fact rewrite pass - was already promoted and live; original about_site_text/interesting_fact preserved as the starting point before rewrite. Rewritten 2026-09-19 to the blended second-person/sensory voice (see feedback_poi_narrative_voice_standard memory); existing fact split where the original text already carried more than one distinct nugget. Additional facts researched 2026-09-19 (real WebSearch pass, not restyle-only). User combined facts 1+2 into a single fact during POI Reader review 2026-09-19.","-20.1606919","57.5029509","promoted - already live in sites.csv","port-louis-central-market-port-louis.jpg","","","","","","","","",""
"Port Louis existing POIs (voice rewrite pass)","2","Champ de Mars","history","9 Dauphine St, Port Louis, Mauritius","","","","This is the home of Champ de Mars Racecourse, inaugurated on 25 June 1812 by the Mauritius Turf Club - the oldest horseracing club in the Southern Hemisphere, and the second-oldest anywhere on Earth. Long before it hosted a single race, French governor Mahé de La Bourdonnais used this same ground to drill his troops.","The sport hasn't been free of its own scandals either: in 2024, jockey Alvinio Roy was handed a five-year disqualification after appearing to deliberately dismount from his leading horse mid-race here - a stark reminder that a 200-year-old institution still has very modern problems.","","","https://en.wikipedia.org/wiki/Champ_de_Mars_Racecourse","Re-imported from sites.csv 2026-09-19 for the new-voice/multi-fact rewrite pass - was already promoted and live; original about_site_text/interesting_fact preserved as the starting point before rewrite. Rewritten 2026-09-19 to the blended second-person/sensory voice (see feedback_poi_narrative_voice_standard memory); existing fact split where the original text already carried more than one distinct nugget. Additional facts researched 2026-09-19 (real WebSearch pass, not restyle-only). User picked fact 3 during POI Reader review 2026-09-19; facts 1/2 cleared.","-20.1692212","57.5101827","promoted - already live in sites.csv","port-louis-champ-de-mars.jpg","","","","","","","","",""
"Port Louis existing POIs (voice rewrite pass)","2","Citadelle (Fort Adelaide)","building","Sebastopol St, Port Louis, Mauritius","","","","Climb the hill above Port Louis and this citadel - also known as Fort Adelaide - looms over the whole city, built by the British between 1830 and 1840 and named for Queen Adelaide, consort of King William IV. It went up to guard against invasion and to keep a lid on the racial tensions of the period, its basalt-stone walls raised over six years of construction using hundreds of Indian contractors.","For all its imposing walls, the fort was never actually used in combat - it survives today as the best-preserved of the major British fortresses ever built on the island. It wasn't built by any single, simple workforce either - it drew on Mauritian apprentices, Indian convicts and indentured labourers, masons brought over from Bombay, British soldiers and Royal Engineers all at once, and construction even stalled for almost three years partway through when the labour supply dried up.","","","","Re-imported from sites.csv 2026-09-19 for the new-voice/multi-fact rewrite pass - was already promoted and live; original about_site_text/interesting_fact preserved as the starting point before rewrite. Rewritten 2026-09-19 to the blended second-person/sensory voice (see feedback_poi_narrative_voice_standard memory); existing fact split where the original text already carried more than one distinct nugget. Additional facts researched 2026-09-19 (real WebSearch pass, not restyle-only). User combined facts 1+2 into a single fact during POI Reader review 2026-09-19.","-20.1637146","57.5102772","promoted - already live in sites.csv","port-louis-citadelle-fort-adelaide.jpg","","","","","","","","",""
"Port Louis existing POIs (voice rewrite pass)","2","Cannon Stand","history","69 Emmanuel Anquetil St, Port Louis, Mauritius","","","","Along the ramparts of Fort Adelaide, a row of cast-iron cannons still sits mounted on wooden carriages, aimed out over Port Louis harbour exactly as they were when the fort was finished. Built from black basalt in a Moorish style between 1830 and 1840, the fort itself was raised to guard against a feared French invasion and to help suppress local opposition to the abolition of slavery.","Despite bristling with cannons and room for a 200-strong garrison, the fort never saw combat - its guns went unfired, and today its ramparts are better known as one of the best viewpoints over Port Louis and the mountains around it.","","","","Re-imported from sites.csv 2026-09-19 for the new-voice/multi-fact rewrite pass - was already promoted and live; original about_site_text/interesting_fact preserved as the starting point before rewrite. Rewritten 2026-09-19 to the blended second-person/sensory voice (see feedback_poi_narrative_voice_standard memory); existing fact split where the original text already carried more than one distinct nugget.","-20.1633953","57.5097652","promoted - already live in sites.csv","port-louis-cannon-stand.jpg","","","","","","","","",""
"Port Louis existing POIs (voice rewrite pass)","2","Blue Penny Museum","museum","Caudan Waterfront, Port Louis, Mauritius","","","","Step inside this museum on the Caudan Waterfront, dedicated to the history and art of Mauritius since it opened in November 2001, and you're standing feet away from two of the rarest stamps on Earth. Its centrepiece is a pair of 1847 ""Post Office"" stamps - the one-penny orange-red and two-pence blue - designed off the back of Britain's Penny Black and stamped with Queen Victoria's profile.","A consortium of Mauritian companies, led by the Mauritius Commercial Bank, paid $2,000,000 in 1993 just to bring the stamps home after almost 150 years abroad. To protect them from light damage, the real stamps are only illuminated for ten minutes on the quarter-past of every opening hour - the rest of the time, what you're looking at is a facsimile.","","","https://en.wikipedia.org/wiki/Blue_Penny_Museum","Re-imported from sites.csv 2026-09-19 for the new-voice/multi-fact rewrite pass - was already promoted and live; original about_site_text/interesting_fact preserved as the starting point before rewrite. Rewritten 2026-09-19 to the blended second-person/sensory voice (see feedback_poi_narrative_voice_standard memory); existing fact split where the original text already carried more than one distinct nugget. User combined facts 1+2 into a single fact during POI Reader review 2026-09-19.","-20.1609278","57.497513","promoted - already live in sites.csv","port-louis-blue-penny-museum.jpg","","","","","","","","",""
"Port Louis existing POIs (voice rewrite pass)","2","Aapravasi Ghat World Heritage Site","history","1 Quay St, Port Louis, Mauritius","","","","You're standing at the place where the modern indentured-labour diaspora began - though the practice itself predates this exact building. The first 36 indentured labourers reached Mauritius on 2 November 1834 aboard the ship Atlas, which had left India that September; they landed near the old Customs House, just metres from where you're standing now, fifteen years before this purpose-built depot even existed. Built in 1849, the Aapravasi Ghat - literally the 'Immigration Depot' - became the main entry point for almost 500,000 indentured labourers brought to Mauritius between 1849 and 1923, mostly from India but also China, Africa, Madagascar and Southeast Asia, to work the island's sugar plantations after the abolition of slavery. New arrivals bathed after weeks at sea, were medically inspected and vaccinated against smallpox, had their contracts read aloud in their own language, and usually spent about two days here completing the paperwork before being sent out to sugar estates across the island. It's been a UNESCO World Heritage Site since 2006.","Roughly 70% of Mauritians today are descended from these indentured labourers - making this small 1,640 m² depot one of the most significant sites anywhere for understanding the roots of modern Mauritian society, and one of the earliest examples of a labour-migration system that would go on to reshape economies worldwide.","","","https://whc.unesco.org/en/list/1227/","Re-imported from sites.csv 2026-09-19 for the new-voice/multi-fact rewrite pass - was already promoted and live; original about_site_text/interesting_fact preserved as the starting point before rewrite. Rewritten 2026-09-19 to the blended second-person/sensory voice (see feedback_poi_narrative_voice_standard memory); existing fact split where the original text already carried more than one distinct nugget. Additional facts researched 2026-09-19 (real WebSearch pass, not restyle-only). Description expanded 2026-09-19 with the Atlas ship arrival (2 Nov 1834, predating the depot building by 15 years) and depot processing routine (bathing, medical inspection, vaccination, contract reading, ~2-day stay) - WebSearch: lemauricien.com, Wikipedia Fatel Razack/Aapravasi Ghat, africanworldheritagesites.org. User picked fact 1, fact 2 cleared.","-20.158554","57.5029509","promoted - already live in sites.csv","port-louis-aapravasi-ghat-world-heritage-site.jpg","","","","","","","","",""
"Port Louis existing POIs (voice rewrite pass)","2","Sir Sewoosagur Ramgoolam Statue","statue","Place d'Armes, Port Louis, Mauritius","","","","This statue at Caudan Waterfront honours Sir Seewoosagur Ramgoolam, the first Prime Minister of independent Mauritius - and his own story is as remarkable as the office he held. Born in 1900 at Belle Rive to an indentured labourer from India, he rose from a self-enrolled mission-school pupil to co-found the Mauritius Labour Party in 1936, campaigning for voting and workers' rights. He served as Mayor of Port Louis, then Chief Minister, then Premier, before leading Mauritius to independence on 12 March 1968 as its first Prime Minister.","As the first head of the independent government, Ramgoolam established free education, free healthcare and a national social security system - a legacy still marked every year on his birthday, 12 September, celebrated across the island as SSR's birth anniversary. His legacy isn't spotless, though: the 'Caisse Noire Affair,' a slush-fund scandal that rocked Air Mauritius for two decades, traced back to a request Ramgoolam made in 1981 for funds to prop up the Labour Party's own struggling newspaper - the secret Swiss bank account it created wasn't exposed until 2001, sixteen years after his death.","","","","Re-imported from sites.csv 2026-09-19 for the new-voice/multi-fact rewrite pass - was already promoted and live; original about_site_text/interesting_fact preserved as the starting point before rewrite. Rewritten 2026-09-19 to the blended second-person/sensory voice (see feedback_poi_narrative_voice_standard memory); existing fact split where the original text already carried more than one distinct nugget. Additional facts researched 2026-09-19 (real WebSearch pass, not restyle-only). Photo re-composited 2026-09-19 (blur-pad, 1000x379) to fix top-of-frame crop - same bug/fix as project_port_louis_route memory. User combined facts 1+2 into one during POI Reader review.","-20.1607402","57.500884","promoted - already live in sites.csv","port-louis-ramgoolam-statue.jpg","","","","","","","","",""
