leg,leg_number,name,type,address,on_route,distance_from_route_m,interest_rating,description,interesting_fact,external_link,source_notes,latitude,longitude,geocode_confidence,image_path,verdict,text_length,photo_choice,map_icon_correct,note_text,new_gps_lat,new_gps_lon,new_gps_accuracy_m,reviewed_at
"Edinburgh Central Library -> Greyfriars Bobby","11","Greyfriars Hall","building","2 Cowgate, Edinburgh EH1 1JR","","","","Passing along the Cowgate, a Gothic tower with pointed windows breaks the skyline where you'd expect an ordinary tenement front - that's Greyfriars Hall, once Cowgatehead Church. Built around 1861 for one of Edinburgh's crowded Old Town parishes, the church eventually lost its congregation and stood empty for years, until Virgin Hotels Edinburgh restored it in 2022, stitching it together with two neighbouring historic buildings to form the hotel. Walk around the tower and you'll see a glass-fronted extension bolted onto the old stone, housing the hotel's modern guest floors, while inside, the original nave's vaulted ceiling and stone tracery survive intact, now used as an event space seating up to 150.","","https://virginhotels.com/edinburgh/","","55.94808","-3.193422","","11-1.jpg","","","","","","","","",""
"Edinburgh Central Library -> Greyfriars Bobby","11","Tomb of John Bayne of Pitcairlie","monument","Greyfriars Kirkyard, Edinburgh EH1 2QQ","","","","A carved hand on this weathered mausoleum, built into Greyfriars' boundary wall, clutches a small purse - a nod to the royal signet, emblem of the man buried inside. John Bayne of Pitcairlie was a writer to the signet who made his fortune supervising the building contracts for Charles II's 1670s renovation of Holyrood Palace, working alongside architects Sir William Bruce and Robert Mylne on major Edinburgh projects including Canongate Kirk and the Tron Kirk. When he died in 1681, his widow Eupham Aikman won the Town Council's permission to raise this monument; masons Philip Alisone and Patrick Hunter built it, and James Andersone painted and gilded the carved surface, which still carries its long Latin inscription.","","https://en.wikipedia.org/wiki/John_Bayne_of_Pitcairlie","","55.947297234368364","-3.192282385323113","","11-2.jpg","","","","","","","","",""
"Edinburgh Central Library -> Greyfriars Bobby","11","Greyfriars Kirk","religious_building","Greyfriars Place, Edinburgh EH1 2QQ","","","","At the edge of its own kirkyard just off George IV Bridge is Edinburgh's first church built after the Reformation - Greyfriars Kirk, which opened on Christmas Day 1620 on land that had belonged to a Franciscan friary until Reformers destroyed it in 1559. Look closely at the plain harled walls and squat tower: a gunpowder magazine stored inside that tower by the Town Council exploded in 1718, wrecking two-thirds of the structure and forcing a rebuild that split the church into two separate congregations, Old and New Greyfriars, worshipping side by side until they reunited in 1929. It remains an active Church of Scotland parish today, its modest exterior giving little hint of the momentous scene that played out just outside its door in 1638.","","https://en.wikipedia.org/wiki/Greyfriars_Kirk","","55.946642977989455","-3.1924271601144882","","11-3.jpg","","","","","","","","",""
"Edinburgh Central Library -> Greyfriars Bobby","11","Greyfriars Kirkyard","monument","Greyfriars Kirkyard, Edinburgh EH1 2QQ","","","","Walk between the crowded rows of table tombs and grand mausolea and you're standing in one of Edinburgh's oldest burial grounds - Greyfriars Kirkyard, granted to the town by Mary Queen of Scots in 1562 on land that had belonged to a Franciscan friary, the 'grey friars' whose robes gave the site its name. With the Old Town's older kirkyards long full, generations of merchants, lawyers and reformers came to rest here, leaving one of the richest collections of post-Reformation funerary architecture in Scotland. Somewhere among the unmarked ground lies James Craig, the young architect who won the competition to design Edinburgh's New Town but died in poverty. Just inside the main gate on Candlemaker Row, a small headstone marks where Bobby, the loyal terrier whose statue stands at this leg's end, was buried in 1872.","","https://en.wikipedia.org/wiki/Greyfriars_Kirkyard","","55.94664254105452","-3.1915386587967687","","11-21.png","","","","","","","","",""
"Edinburgh Central Library -> Greyfriars Bobby","11","Covenanters' Prison","monument","Greyfriars Kirkyard (Forrest Road side), Edinburgh EH1 2QL","","","","Peer through the locked iron gate off Candlemaker Row into the walled enclosure known as the Covenanters' Prison and you're looking at open ground with a brutal history. After the Covenanter army was crushed at the Battle of Bothwell Bridge in June 1679, around 1,200 prisoners were marched here and held in the open air for more than four months, each allotted just four ounces of bread a day; dozens died of exposure and starvation before winter set in, while others were tried and executed or escaped. In November 1679, some 257 survivors sentenced to transportation to the American colonies were marched to Leith and put aboard the Crown of London - it wrecked off Orkney soon after, and the crew battened the hatches shut, drowning over 200 men still shackled below deck.","","https://www.hmdb.org/m.asp?m=242684","","55.946060768173105","-3.1924414092279902","","11-5.jpg","","","","","","","","",""
"Edinburgh Central Library -> Greyfriars Bobby","11","The Black Mausoleum","monument","Greyfriars Kirkyard, Edinburgh EH1 2QL","","","","A domed, colonnaded tomb tucked against Greyfriars' southern boundary wall is the Black Mausoleum, built for Sir George Mackenzie of Rosehaugh - the King's Advocate who prosecuted the Covenanters imprisoned just metres away and earned the nickname 'Bloody Mackenzie' for the executions he ordered during the Killing Time. Designed by architect James Smith and completed shortly before Mackenzie's death in 1691, its drum-shaped form was unusual for Restoration-era Scotland. Mackenzie was also a founding force behind the Advocates' Library, later absorbed into the National Library of Scotland just up the street - a rather more respectable legacy than the one that's made this tomb one of the most 'haunted' sites in Britain.","","https://en.wikipedia.org/wiki/George_Mackenzie_of_Rosehaugh","","55.9462167","-3.1921664","","11-6.jpg","","","","","","","","",""
"Edinburgh Central Library -> Greyfriars Bobby","11","Greyfriars Bobby's Bar","building","30-34 Candlemaker Row, Edinburgh EH1 2QE","","","","This bar at the foot of Candlemaker Row occupies a Category B listed pub occupying the ground floor of early Georgian houses built as part of the same 1720s development as the neighbouring Candlemakers' Hall. Long a tavern under other names, it was renamed Greyfriars Bobby's Bar after the small terrier whose statue - cast by sculptor William Brodie and unveiled in 1873, a year after the dog's death - stands on the pavement just outside its door. Inside, dark wood panelling and old photographs of the real Bobby lean into the legend, while the pub's position squarely between the kirkyard gate and the statue makes it one of the most photographed backdrops on this stretch of the walk.","","https://www.nicholsonspubs.co.uk/restaurants/scotlandandnorthernireland/greyfriarsbobbysbarcandlemakerrowedinburgh","","55.9468375","-3.1914873","","11-7.jpg","","","","","","","","",""
"Edinburgh Central Library -> Greyfriars Bobby","11","Bedlam Theatre","building","11b Bristo Place, Edinburgh EH1 1EZ","","","","At the corner of Forrest Road and Bristo Place stands a red sandstone Gothic front with a steep gabled roof and lancet windows - built in 1848 for the New North Free Church by Thomas Hamilton, one of the architects behind the Scott Monument and the Royal High School. The congregation left in 1941, and after decades serving as a University of Edinburgh chaplaincy and storeroom, students converted the deconsecrated church into a theatre in 1980-81, keeping the Gothic shell intact. Step inside today and you're in the oldest continuously running student theatre in Britain, staging around forty University of Edinburgh Theatre Company productions a year and packing in up to eight separate Fringe shows a day every August.","","https://en.wikipedia.org/wiki/Bedlam_Theatre","","55.9462878","-3.190727","","11-8.jpg","","","","","","","","",""
"Edinburgh Central Library -> Greyfriars Bobby","11","Greyfriars Bobby Statue","monument","Corner of George IV Bridge & Candlemaker Row, Edinburgh EH1 2QQ","","","","At the corner of George IV Bridge and Candlemaker Row, opposite the kirkyard gate, stands what's said to be the smallest listed structure in Edinburgh - a life-size bronze statue and drinking fountain standing barely a foot tall. Sculpted by William Brodie and unveiled in November 1873, it was funded by the English philanthropist Baroness Angela Burdett-Coutts, whose name is still cast into the bronze plaque on its granite base. It commemorates a small terrier who, according to Edinburgh legend, kept vigil for fourteen years at the grave of his master, night watchman John Gray, just across the road.","","https://en.wikipedia.org/wiki/Greyfriars_Bobby","","55.9469447","-3.1913151","","11-9.jpg","","","","","","","","",""
"Edinburgh Central Library -> Greyfriars Bobby","11","Greyfriars Bobby's Grave","monument","Greyfriars Kirkyard, Edinburgh EH1 2QQ (just inside the main gate)","","","","Just inside Greyfriars Kirkyard's main gate, near the George IV Bridge entrance, is a small red granite headstone marking the traditional burial spot of Greyfriars Bobby. The stone is much newer than the 1872 burial it commemorates - it was erected by the Dog Aid Society of Scotland and unveiled by the Duke of Gloucester on 13 May 1981, more than a century after Bobby's death. His actual grave lies some seventy-five yards from his master John Gray's, since dogs couldn't normally be buried inside the kirkyard - a small, unofficial exception made for the city's most famous mourner. Look down at the foot of the stone and you'll usually find sticks, dog toys and collars left by visitors rather than flowers.","","https://www.hmdb.org/m.asp?m=126984","","55.94668453336258","-3.1916658733960435","","11-10.jpg","","","","","","","","",""
"Edinburgh Central Library -> Greyfriars Bobby","11","Thomas Riddell's Grave","monument","Greyfriars Kirkyard, Edinburgh EH1 2QQ (southern yard, near the boundary wall)","","","","A weathered sandstone marker, tucked toward the back of Greyfriars' southern yard and half-hidden against the boundary wall, is inscribed simply to 'Thomas Riddell Esq.', who died in Edinburgh on 24 November 1806 aged 72 - almost nothing else about him survives in easily available records. Yet Greyfriars Kirk's own visitor materials now formally list this stone as a stop on the yard's tours under the name 'Tom Riddell Gravesite', a sign of how firmly an unproven literary rumour has been absorbed into the kirkyard's modern identity.","","https://greyfriarskirk.com/visit/tours/untitled-2/","","55.94692440865037","-3.1936065897724264","","11-24.png","","","","","","","","",""
"Edinburgh Central Library -> Greyfriars Bobby","11","Captain John Porteous's Grave","monument","Greyfriars Kirkyard, Edinburgh EH1 2QQ (near the west wall)","","","","Near the arched entryway of the Flodden Wall is a plain grey headstone marking the grave of Captain John Porteous of the Edinburgh City Guard, buried here on 9 September 1736. After a mob hanged smuggler Andrew Wilson in the Grassmarket that April, Porteous ordered his men to fire into the crowd, killing several bystanders including a boy watching from a window; convicted of murder, he was reprieved by the Crown at the last moment. That reprieve enraged the city - on the night of 7 September 1736, a mob dragged him from the Tolbooth and lynched him from a dyer's pole in the Grassmarket, in what became known as the Porteous Riots.","","https://en.wikipedia.org/wiki/John_Porteous_(soldier)","","55.9467079101279","-3.1933173969675233","","11-12.jpg","","","","","","","","",""
